Attribute,Description,Standard value,Unit,Data type,Source
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",True,--,bool,
``kW_th_max``,Maximum thermal capacity (i.e. heat output).,'inf',kW,float,
``hv_oil_MJpkg``,Lower heating value of oil.,42.9,MJ/kg,float,
``eta``,Conversion efficiency from fuel to heat.,0.85,--,float,
``oil_price_CHFpl``,Oil price (annual fixed value).,1,CHF/l,float,
``co2_intensity``,Carbon-dioxide intensity of technology output (annual average value).,0.301,kg CO2/kWh,float,
``lifetime``,Expected lifetime of technology before replacement is required.,25,years,int,
``interest_rate``,Interest rate for computing levelised costs (if required).,0.025,--,float,
``replacement_factor``,Used for scenario 'fossil_heater_retrofit'. Fraction of heating capacity to be replaced by heat pumps.,1,--,float,
``capex``,CAPEX cost of technology per unit of capacity.,3000,CHF/kWp,float,
``capex_one_to_one_replacement``,CAPEX cost of technology per unit of capacity (when device has reached the end of life),1500,CHF/kWp,float,
``maintenance_cost``,OPEX cost of technology.,30,CHF/kWp/year,float,
``fixed_demand_share``,,False,--,bool,
``fixed_demand_share_val``,,0,--,float,
``only_allow_existing``,,False,bool,bool,
